ticker,company,quarter,earnings_date,quarters_behind,n_history,density_qa,density_z,density_pctile,change_vs_prev_call
IT,Gartner,2024Q4,2024-11-05,1,42,1.2057877813504823,3.6254630172228004,100.0,0.36765263205765875
GLW,Corning Inc.,2025Q1,2025-01-29,0,43,1.3763352506162694,3.553839977228316,100.0,0.5957628308417681
TMUS,T-Mobile US,2024Q4,2024-10-23,1,40,1.0627116664720309,3.4890004791040865,100.0,0.21301594939773993
KMX,CarMax,2024Q2,2024-04-11,3,34,1.2392513909964593,3.2218933644687255,100.0,0.3822374081367389
HAS,Hasbro,2024Q4,2024-10-24,1,42,1.2275317843051292,3.0347491034597116,97.61904761904762,0.4709113555535529
ESS,Essex Property Trust,2024Q4,2024-10-30,1,42,1.475541299117883,3.0244087580137733,100.0,0.2505367954248545
RVTY,Revvity,2025Q1,2025-01-31,0,42,1.6345990124297631,2.808404866020663,100.0,0.5077910743201097
APTV,Aptiv,2024Q4,2024-10-31,1,30,1.3616212792906903,2.788749387718755,100.0,0.3598231801383658
URI,United Rentals,2025Q1,2025-01-30,0,43,1.3684744044602128,2.7160094947776767,97.67441860465115,0.36240841836759574
IRM,Iron Mountain,2024Q4,2024-11-06,1,42,1.1612206319200649,2.5394538060374146,97.61904761904762,0.368654356981557
KLAC,KLA Corporation,2024Q4,2024-10-30,1,39,1.3933895009721322,2.4194970068303663,97.43589743589743,0.570440994035852
CTVA,Corteva,2024Q4,2024-11-07,1,19,1.196329072435267,2.408836496494001,94.73684210526315,0.3292770493138799
TDY,Teledyne Technologies,2025Q1,2025-01-22,0,34,1.7578678763821944,2.3184928936931373,100.0,0.17308182249946857
MET,MetLife,2024Q4,2024-10-31,1,42,1.6163334751169716,2.296117050095423,100.0,0.7184883035287832
FMC,FMC Corporation,2024Q4,2024-10-30,1,41,1.236917221693625,2.2933705858398357,97.5609756097561,0.09340664422078349
CVS,CVS Health,2024Q4,2024-11-06,1,40,1.1258955987717503,2.2611849827945854,97.5,0.1280338738964829
NXPI,NXP Semiconductors,2024Q4,2024-11-05,1,35,1.265474552957359,2.2348090442845274,100.0,0.3943599221911741
AWK,American Water Works,2024Q4,2024-10-31,1,40,1.419158641662443,2.150452515897089,97.5,1.0195945297844917
GL,Globe Life,2024Q4,2024-10-24,1,40,1.9230769230769231,2.1079358131902817,97.5,0.5249267832619091
DFS,Discover Financial,2024Q1,2024-01-18,4,39,1.3134710876181324,2.0851893720851122,97.43589743589743,0.002267768116057667
PCAR,Paccar,2025Q1,2025-01-28,0,43,1.2197342071727653,2.0728525576446475,95.34883720930233,0.14709589328492179
CPRT,Copart,2024Q4,2024-11-21,1,44,1.4314928425357873,2.042907187693463,93.18181818181817,0.5374261939310732
HOLX,Hologic,2024Q4,2024-11-04,1,42,1.4735264735264737,2.0259443752914343,97.61904761904762,0.4726746847700851
AMZN,Amazon,2024Q4,2024-10-31,1,42,1.0169491525423728,2.0240338847097488,95.23809523809523,0.5002746574742657
CDW,CDW,2024Q4,2024-10-30,1,42,1.2032932235592146,1.9331081114206186,92.85714285714286,0.47539769797582787
FTV,Fortive,2024Q4,2024-10-30,1,33,1.45360155743024,1.9100911460115146,96.96969696969697,0.42660625226592086
MPC,Marathon Petroleum,2024Q4,2024-11-05,1,41,1.2484700122399022,1.8993879948397139,95.1219512195122,-0.12249772969558181
NRG,NRG Energy,2024Q4,2024-11-08,1,42,1.1777902411665733,1.8908801885100186,95.23809523809523,0.2665752878955452
TRV,Travelers Companies (The),2025Q1,2025-01-22,0,43,1.5020097313306537,1.8567847178472419,97.67441860465115,0.40804058687062583
UNH,UnitedHealth Group,2023Q3,2023-07-14,6,34,1.139101861993428,1.8515938515571402,94.11764705882352,0.33265024909020235
