ticker,n_quarters,pearson_r,pearson_p,spearman_rho,spearman_p,mean_growth,median_growth
WMT,18,0.5988466184390021,0.008640096736341047,0.7543859649122806,0.00029766146155802033,1.9269277878562374,2.630994165109982
MRNA,22,0.5533786899555359,0.007549578915266658,0.1902879728966686,0.3963148931359526,-6.149152637176607,1.1440722918692525
DAY,21,0.5258491968425502,0.01434979978500753,0.37142857142857144,0.09735837325949603,29.233060810447643,11.797752808988763
VICI,26,0.459402254528059,0.018225539161045107,0.10017094017094016,0.6263427740468221,7.791878704464226,2.725369707610243
ABNB,15,0.40645554119111615,0.1327298149932197,0.3571428571428571,0.19127476343157904,81.72183534177508,27.205276174773292
BR,34,0.3677648209051993,0.03236784173861058,0.3439529385849956,0.04639357905000768,3.3471487273397846,2.8483017585066515
JBHT,24,0.35270774207633016,0.09093402345638271,0.3356521739130434,0.10882666589446971,0.9627826422254744,-1.964313753462605
CNP,42,0.3501990803512194,0.02299085687801955,0.2857953164249251,0.06654315697964328,0.7797767146703959,1.899573368704468
DGX,43,0.3244252845522499,0.03379627667644076,0.12762422740338866,0.41474593499963763,2.1826352085424188,1.0649960845732265
HUBB,41,0.3188107242562454,0.042193192948598926,0.34250871080139383,0.028373530297163406,2.7217783544417724,2.258310073585395
VRTX,41,0.31455196599722063,0.04517812281730464,0.32682926829268305,0.03700851176238185,13.058225693767316,7.968574635241292
A,42,0.31412857178251163,0.04276959988755478,0.07543959160521838,0.6349098626279686,1.54337877659315,2.7719639901843296
GIS,39,0.3044783981159869,0.059480530192724236,0.2993927125506073,0.06408294332317632,1.1778404945312038,1.2070815450643757
PPL,42,0.2983425720633018,0.05497298024209531,0.036382789077060204,0.8190653078977137,-0.5869769761395186,0.8923207758839122
LH,42,0.2975228436791077,0.055675914443052074,0.07624989871161171,0.6312681845490657,2.233306100859022,1.9255596070907433
TFX,42,0.2868317763536405,0.06551976516903105,0.30443237987197147,0.04997091650201084,2.4219476379064755,2.908191794226601
PNR,42,0.28036958890015706,0.07210876644008318,0.20832995705372337,0.1855135907887877,0.6818085057462978,2.293551224239783
